Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Datetime,,,,,
2026-03-16 13:30:00+00:00,626.5599975585938,632.344970703125,625.7999877929688,632.0,1298741
2026-03-16 13:31:00+00:00,627.6699829101562,628.010009765625,626.4500122070312,626.8350219726562,0
2026-03-16 13:32:00+00:00,628.47998046875,629.4249877929688,626.5499877929688,627.3699951171875,172502
2026-03-16 13:33:00+00:00,630.9000244140625,631.0,628.47998046875,628.47998046875,100418
2026-03-16 13:34:00+00:00,632.155029296875,632.4299926757812,630.1199951171875,630.989990234375,92803
2026-03-16 13:35:00+00:00,634.1160278320312,634.489990234375,631.9349975585938,632.1500244140625,133681
2026-03-16 13:36:00+00:00,632.6900024414062,634.3099975585938,632.2249755859375,634.02001953125,123019
2026-03-16 13:37:00+00:00,631.614990234375,633.1749877929688,631.3499755859375,632.8699951171875,110874
2026-03-16 13:38:00+00:00,631.2000122070312,632.5700073242188,631.2000122070312,631.614990234375,62260
2026-03-16 13:39:00+00:00,629.7899780273438,632.0,629.60498046875,631.3699951171875,160139
2026-03-16 13:40:00+00:00,629.2750244140625,630.4000244140625,628.6119995117188,629.8236083984375,1197093
2026-03-16 13:41:00+00:00,629.592529296875,629.8800048828125,628.5999755859375,629.3699951171875,0
2026-03-16 13:42:00+00:00,629.4299926757812,630.5,629.405029296875,629.6799926757812,34294
2026-03-16 13:43:00+00:00,627.64501953125,629.409912109375,627.3900146484375,629.409912109375,43977
2026-03-16 13:44:00+00:00,626.6099853515625,627.8900146484375,626.5,627.6400146484375,50002
2026-03-16 13:45:00+00:00,627.9199829101562,627.9199829101562,626.5,626.7799072265625,1356755
2026-03-16 13:46:00+00:00,627.60498046875,628.1326293945312,627.0900268554688,627.9000244140625,0
2026-03-16 13:47:00+00:00,627.7349853515625,628.1500244140625,627.030029296875,627.6099853515625,50670
2026-03-16 13:48:00+00:00,627.7650146484375,628.0,627.0501098632812,627.8900146484375,1416075
2026-03-16 13:49:00+00:00,629.3200073242188,629.7000122070312,627.7000122070312,627.97998046875,0
2026-03-16 13:50:00+00:00,629.3200073242188,629.6171264648438,628.2999877929688,629.3200073242188,41224
2026-03-16 13:51:00+00:00,629.260009765625,629.9199829101562,629.1599731445312,629.375,20052
2026-03-16 13:52:00+00:00,628.9600219726562,629.7999267578125,628.9600219726562,629.2949829101562,26400
2026-03-16 13:53:00+00:00,629.5800170898438,629.5800170898438,628.5150146484375,629.10498046875,14630
2026-03-16 13:54:00+00:00,629.010009765625,629.97998046875,628.6201171875,629.4000244140625,34215
2026-03-16 13:55:00+00:00,629.2501220703125,629.4400024414062,628.6599731445312,628.969970703125,1472629
2026-03-16 13:56:00+00:00,629.8499755859375,629.989990234375,629.1900024414062,629.385009765625,32446
2026-03-16 13:57:00+00:00,631.6599731445312,631.6599731445312,629.739990234375,629.8200073242188,0
2026-03-16 13:58:00+00:00,631.9099731445312,632.0,631.4400024414062,631.5900268554688,41099
2026-03-16 13:59:00+00:00,631.3900146484375,631.85498046875,630.8099975585938,631.8099975585938,30789
2026-03-16 14:00:00+00:00,629.7000122070312,631.7999877929688,629.260009765625,631.489990234375,1595403
2026-03-16 14:01:00+00:00,630.25,630.52001953125,629.0700073242188,629.5549926757812,0
2026-03-16 14:02:00+00:00,630.1400146484375,630.2899780273438,629.530029296875,630.239990234375,31292
2026-03-16 14:03:00+00:00,629.9500122070312,630.5,629.77001953125,630.1884155273438,22167
2026-03-16 14:04:00+00:00,630.1599731445312,630.1599731445312,629.72998046875,629.9249877929688,18156
2026-03-16 14:05:00+00:00,630.9998779296875,630.9998779296875,629.5800170898438,630.2100219726562,32224
2026-03-16 14:06:00+00:00,631.7401123046875,631.989990234375,630.5900268554688,630.8800048828125,18608
2026-03-16 14:07:00+00:00,632.614990234375,632.8699951171875,631.5850219726562,631.8800048828125,34173
2026-03-16 14:08:00+00:00,633.1699829101562,633.1699829101562,632.1400146484375,632.6300048828125,42121
2026-03-16 14:09:00+00:00,633.0900268554688,633.2899780273438,632.9000244140625,633.0499877929688,32636
2026-03-16 14:10:00+00:00,634.0,634.1400146484375,633.0,633.1900024414062,37115
2026-03-16 14:11:00+00:00,634.25,634.39501953125,633.280029296875,633.8250122070312,33756
2026-03-16 14:12:00+00:00,633.6300048828125,634.739990234375,633.3400268554688,634.27001953125,44336
2026-03-16 14:13:00+00:00,633.6900024414062,634.451416015625,633.3400268554688,633.4760131835938,42804
2026-03-16 14:14:00+00:00,633.0499877929688,633.6417236328125,633.010009765625,633.5100708007812,1827387
2026-03-16 14:15:00+00:00,632.8699951171875,633.3800048828125,632.760009765625,633.010009765625,0
2026-03-16 14:16:00+00:00,633.142578125,633.8599243164062,632.8599853515625,632.97998046875,24866
2026-03-16 14:17:00+00:00,633.489990234375,633.6500244140625,632.875,633.25,20256
2026-03-16 14:18:00+00:00,633.594970703125,633.6199951171875,633.1099853515625,633.4804077148438,22962
2026-03-16 14:19:00+00:00,633.02001953125,633.77001953125,632.719970703125,633.7000122070312,39921
2026-03-16 14:20:00+00:00,633.3699951171875,633.780029296875,632.7000122070312,633.02001953125,29565
2026-03-16 14:21:00+00:00,632.7000122070312,633.3499755859375,632.5499877929688,633.260009765625,26799
2026-03-16 14:22:00+00:00,631.5999755859375,632.4301147460938,631.530029296875,632.4301147460938,26965
2026-03-16 14:23:00+00:00,631.7550048828125,632.2799072265625,631.3380126953125,631.6400146484375,1942123
2026-03-16 14:24:00+00:00,632.6500244140625,632.8300170898438,631.614990234375,631.75732421875,0
2026-03-16 14:25:00+00:00,632.8200073242188,633.2899780273438,631.9199829101562,632.7100219726562,22300
2026-03-16 14:26:00+00:00,633.0399780273438,633.3599853515625,632.6599731445312,632.77001953125,20912
2026-03-16 14:27:00+00:00,632.5599975585938,633.0,632.510009765625,632.969970703125,1960111
2026-03-16 14:28:00+00:00,632.4099731445312,632.760009765625,632.0200805664062,632.635009765625,0
2026-03-16 14:29:00+00:00,632.1500244140625,632.8699951171875,632.1500244140625,632.260009765625,1981519
2026-03-16 14:30:00+00:00,630.9949951171875,632.0900268554688,630.9099731445312,632.0900268554688,0
2026-03-16 14:31:00+00:00,631.1699829101562,631.4000244140625,630.885009765625,631.0050048828125,25500
2026-03-16 14:32:00+00:00,630.8599853515625,631.5499877929688,630.8499755859375,631.2249755859375,17137
2026-03-16 14:33:00+00:00,630.3800048828125,631.1964721679688,630.3300170898438,630.9400024414062,2027770
2026-03-16 14:34:00+00:00,629.7349853515625,630.4000244140625,629.6400146484375,630.3900146484375,0
2026-03-16 14:35:00+00:00,630.2949829101562,630.39990234375,629.7999877929688,629.7999877929688,2059360
2026-03-16 14:36:00+00:00,630.27001953125,630.7545776367188,630.0650024414062,630.2999877929688,27036
2026-03-16 14:37:00+00:00,629.260009765625,630.6300048828125,629.260009765625,630.2750244140625,0
2026-03-16 14:38:00+00:00,627.75,629.659912109375,627.6500244140625,629.47998046875,40204
2026-03-16 14:39:00+00:00,628.3599853515625,629.0,627.7999877929688,627.7999877929688,22161
2026-03-16 14:40:00+00:00,628.5900268554688,628.9199829101562,628.2100219726562,628.2899780273438,20137
2026-03-16 14:41:00+00:00,628.780029296875,629.2000122070312,628.5700073242188,628.5700073242188,2135288
2026-03-16 14:42:00+00:00,628.384521484375,628.989990234375,628.0999755859375,628.989990234375,0
2026-03-16 14:43:00+00:00,628.5444946289062,629.02001953125,628.3400268554688,628.5250244140625,13115
2026-03-16 14:44:00+00:00,628.3900146484375,629.0900268554688,628.3499755859375,628.5349731445312,16272
2026-03-16 14:45:00+00:00,628.5999755859375,628.97998046875,628.2000122070312,628.3499755859375,26272
2026-03-16 14:46:00+00:00,628.6599731445312,629.1799926757812,628.4349975585938,628.6799926757812,18993
2026-03-16 14:47:00+00:00,627.75,628.8798828125,627.739990234375,628.52001953125,12793
