Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Datetime,,,,,
2026-03-26 08:00:00+00:00,839.97,839.97,839.97,839.97,0
2026-03-26 08:01:00+00:00,839.97,839.97,839.97,839.97,0
2026-03-26 08:07:00+00:00,837.84,837.84,837.81,837.81,0
2026-03-26 08:14:00+00:00,836.0,836.0,836.0,836.0,0
2026-03-26 08:15:00+00:00,836.0,836.0,836.0,836.0,0
2026-03-26 08:19:00+00:00,836.0,836.12,836.0,836.12,0
2026-03-26 08:20:00+00:00,836.01,836.04,835.99,835.99,0
2026-03-26 08:21:00+00:00,836.01,836.01,836.01,836.01,0
2026-03-26 08:26:00+00:00,836.01,836.01,836.01,836.01,0
2026-03-26 08:27:00+00:00,836.04,836.04,836.01,836.01,0
2026-03-26 08:29:00+00:00,836.08,836.08,836.06,836.06,0
2026-03-26 08:30:00+00:00,833.25,835.0,833.25,835.0,0
2026-03-26 08:31:00+00:00,834.97,835.0,834.97,835.0,0
2026-03-26 08:38:00+00:00,833.9,834.66,833.9,834.55,0
2026-03-26 08:45:00+00:00,833.9,833.9,833.9,833.9,0
2026-03-26 08:49:00+00:00,832.03,832.03,832.03,832.03,0
2026-03-26 08:59:00+00:00,833.49,833.49,833.49,833.49,0
2026-03-26 09:12:00+00:00,833.0,833.0,833.0,833.0,0
2026-03-26 09:13:00+00:00,832.6,832.6,832.6,832.6,0
2026-03-26 09:15:00+00:00,832.6,832.6,832.6,832.6,0
2026-03-26 09:28:00+00:00,832.6,832.6,832.52,832.52,0
2026-03-26 09:30:00+00:00,830.13,832.17,830.13,832.17,0
2026-03-26 09:32:00+00:00,830.13,830.13,830.13,830.13,0
2026-03-26 09:33:00+00:00,832.4,832.4,832.4,832.4,0
2026-03-26 09:42:00+00:00,832.4,832.4,832.4,832.4,0
2026-03-26 09:50:00+00:00,833.49,833.49,830.22,830.22,0
2026-03-26 10:01:00+00:00,830.25,833.49,830.25,833.49,0
2026-03-26 10:06:00+00:00,830.84,830.84,830.84,830.84,0
2026-03-26 10:09:00+00:00,832.56,832.56,832.56,832.56,0
2026-03-26 10:14:00+00:00,832.4,832.4,832.29,832.29,0
2026-03-26 10:21:00+00:00,832.56,832.56,832.27,832.27,0
2026-03-26 10:28:00+00:00,832.56,832.56,832.56,832.56,0
2026-03-26 10:33:00+00:00,834.0,834.34,833.87,834.0,0
2026-03-26 10:35:00+00:00,834.0,834.0,834.0,834.0,0
2026-03-26 10:37:00+00:00,833.76,833.76,833.69,833.69,0
2026-03-26 10:39:00+00:00,833.0,833.19,833.0,833.19,0
2026-03-26 10:40:00+00:00,831.41,832.61,831.41,832.61,0
2026-03-26 10:45:00+00:00,831.5,831.5,831.5,831.5,0
2026-03-26 10:57:00+00:00,833.95,833.95,833.95,833.95,0
2026-03-26 10:58:00+00:00,834.37,834.37,834.37,834.37,0
2026-03-26 11:00:00+00:00,834.66,834.92,833.07,833.95,0
2026-03-26 11:01:00+00:00,834.66,834.66,834.66,834.66,0
2026-03-26 11:03:00+00:00,834.58,834.58,834.58,834.58,0
2026-03-26 11:04:00+00:00,834.56,834.56,834.49,834.49,0
2026-03-26 11:05:00+00:00,834.49,834.49,834.48,834.48,0
2026-03-26 11:06:00+00:00,834.51,834.51,834.49,834.49,0
2026-03-26 11:08:00+00:00,834.51,834.51,834.0,834.46,0
2026-03-26 11:09:00+00:00,834.99,834.99,834.99,834.99,0
2026-03-26 11:13:00+00:00,834.0,834.0,834.0,834.0,0
2026-03-26 11:14:00+00:00,834.51,834.51,834.51,834.51,0
2026-03-26 11:15:00+00:00,834.0,834.94,834.0,834.94,0
2026-03-26 11:16:00+00:00,834.4,834.4,834.4,834.4,0
2026-03-26 11:17:00+00:00,834.37,834.37,834.37,834.37,0
2026-03-26 11:18:00+00:00,834.4,834.4,834.4,834.4,0
2026-03-26 11:20:00+00:00,834.4,834.4,834.4,834.4,0
2026-03-26 11:26:00+00:00,832.0,833.13,832.0,833.13,0
2026-03-26 11:27:00+00:00,831.52,831.52,831.52,831.52,0
2026-03-26 11:28:00+00:00,831.52,831.52,831.52,831.52,0
2026-03-26 11:31:00+00:00,832.8,833.31,831.89,833.31,0
2026-03-26 11:32:00+00:00,832.47,832.5,831.67,832.5,0
2026-03-26 11:35:00+00:00,832.72,832.72,832.72,832.72,0
2026-03-26 11:37:00+00:00,832.72,832.72,832.59,832.59,0
2026-03-26 11:38:00+00:00,832.72,832.72,832.72,832.72,0
2026-03-26 11:39:00+00:00,831.67,832.42,831.67,832.42,0
2026-03-26 11:40:00+00:00,831.74,831.74,831.74,831.74,0
2026-03-26 11:42:00+00:00,831.0,831.76,831.0,831.61,0
2026-03-26 11:43:00+00:00,831.14,831.14,831.0,831.0,0
