Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Datetime,,,,,
2026-04-09 08:00:00+00:00,900.61,907.1988,888.675,900.71,0
2026-04-09 08:01:00+00:00,892.66,904.78,892.6585,903.26,0
2026-04-09 08:06:00+00:00,901.0,901.0,896.36,896.36,0
2026-04-09 08:07:00+00:00,903.51,903.51,903.51,903.51,0
2026-04-09 08:14:00+00:00,895.15,896.0,895.15,896.0,0
2026-04-09 08:15:00+00:00,895.15,895.15,895.15,895.15,0
2026-04-09 08:30:00+00:00,895.35,895.35,895.35,895.35,0
2026-04-09 08:32:00+00:00,892.27,892.27,892.27,892.27,0
2026-04-09 08:40:00+00:00,894.2,894.2,894.2,894.2,0
2026-04-09 08:41:00+00:00,898.51,898.51,898.03,898.03,0
2026-04-09 08:43:00+00:00,898.0,898.51,898.0,898.51,0
2026-04-09 08:44:00+00:00,896.15,898.51,896.15,898.51,0
2026-04-09 08:45:00+00:00,896.15,896.15,896.15,896.15,0
2026-04-09 08:47:00+00:00,898.84,898.84,898.84,898.84,0
2026-04-09 08:48:00+00:00,894.3781,894.3781,894.3781,894.3781,0
2026-04-09 08:53:00+00:00,894.3781,894.3781,894.3781,894.3781,0
2026-04-09 09:13:00+00:00,894.3781,894.3781,894.3781,894.3781,0
2026-04-09 09:18:00+00:00,898.5,898.5,898.03,898.03,0
2026-04-09 09:19:00+00:00,898.54,898.54,898.54,898.54,0
2026-04-09 09:27:00+00:00,897.5,898.0,897.5,898.0,0
2026-04-09 09:28:00+00:00,897.5,897.5,897.5,897.5,0
2026-04-09 09:30:00+00:00,897.52,897.61,897.52,897.61,0
2026-04-09 09:37:00+00:00,897.52,897.62,897.52,897.62,0
2026-04-09 09:45:00+00:00,897.52,897.52,897.52,897.52,0
2026-04-09 09:52:00+00:00,897.84,897.84,897.84,897.84,0
2026-04-09 09:53:00+00:00,898.75,898.75,896.0,896.0,0
2026-04-09 09:56:00+00:00,898.87,898.88,897.5,897.5,0
2026-04-09 09:57:00+00:00,899.0,899.0,898.9,898.9,0
2026-04-09 09:58:00+00:00,899.99,899.99,899.99,899.99,0
2026-04-09 10:00:00+00:00,899.99,899.99,899.99,899.99,0
2026-04-09 10:01:00+00:00,900.78,901.18,900.63,900.63,0
2026-04-09 10:03:00+00:00,900.08,900.08,900.08,900.08,0
2026-04-09 10:04:00+00:00,900.4,900.4,900.4,900.4,0
2026-04-09 10:05:00+00:00,900.1,900.1,900.1,900.1,0
2026-04-09 10:08:00+00:00,900.08,900.08,900.08,900.08,0
2026-04-09 10:09:00+00:00,901.0,901.0,900.08,900.08,0
2026-04-09 10:12:00+00:00,900.68,900.68,900.68,900.68,0
2026-04-09 10:13:00+00:00,900.08,900.1,900.08,900.1,0
2026-04-09 10:14:00+00:00,897.5,897.5,897.5,897.5,0
2026-04-09 10:15:00+00:00,897.5,897.5,897.5,897.5,0
2026-04-09 10:30:00+00:00,897.5,897.5,897.5,897.5,0
2026-04-09 10:38:00+00:00,900.99,900.99,900.99,900.99,0
2026-04-09 10:39:00+00:00,900.96,900.96,900.96,900.96,0
2026-04-09 10:40:00+00:00,900.95,900.95,900.95,900.95,0
2026-04-09 10:42:00+00:00,900.08,900.08,900.08,900.08,0
2026-04-09 10:43:00+00:00,901.17,901.17,900.88,900.88,0
2026-04-09 10:45:00+00:00,901.17,901.17,901.17,901.17,0
2026-04-09 10:47:00+00:00,900.12,900.12,900.12,900.12,0
2026-04-09 10:51:00+00:00,900.0,900.0,900.0,900.0,0
2026-04-09 11:00:00+00:00,896.12,902.2,896.12,899.0,0
2026-04-09 11:01:00+00:00,899.0012,905.75,899.0012,899.99,0
2026-04-09 11:02:00+00:00,900.5,905.0,900.4,905.0,0
2026-04-09 11:03:00+00:00,900.0,900.0,900.0,900.0,0
2026-04-09 11:10:00+00:00,905.0,905.0,905.0,905.0,0
2026-04-09 11:15:00+00:00,898.17,898.17,898.17,898.17,0
2026-04-09 11:17:00+00:00,898.22,898.22,898.22,898.22,0
2026-04-09 11:18:00+00:00,898.27,899.0,898.0,898.9,0
2026-04-09 11:19:00+00:00,898.5,898.5,898.5,898.5,0
2026-04-09 11:20:00+00:00,898.0,898.2405,898.0,898.2405,0
2026-04-09 11:22:00+00:00,898.39,898.49,898.1864,898.49,0
2026-04-09 11:23:00+00:00,897.48,898.18,896.05,898.18,0
2026-04-09 11:24:00+00:00,897.45,897.54,897.45,897.45,0
2026-04-09 11:25:00+00:00,897.54,897.54,897.54,897.54,0
2026-04-09 11:26:00+00:00,897.3,897.3,897.3,897.3,0
2026-04-09 11:27:00+00:00,896.24,896.24,896.24,896.24,0
2026-04-09 11:30:00+00:00,896.24,896.24,896.24,896.24,0
2026-04-09 11:31:00+00:00,898.0,898.0,898.0,898.0,0
