Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Datetime,,,,,
2026-03-26 08:00:00+00:00,290.26,290.26,290.16,290.16,0
2026-03-26 08:01:00+00:00,290.26,290.34,290.15,290.15,0
2026-03-26 08:03:00+00:00,290.1,290.1,290.1,290.1,0
2026-03-26 08:04:00+00:00,290.24,290.24,290.24,290.24,0
2026-03-26 08:05:00+00:00,290.17,290.2,290.09,290.19,0
2026-03-26 08:06:00+00:00,290.33,290.33,290.28,290.28,0
2026-03-26 08:07:00+00:00,290.29,290.43,290.16,290.43,0
2026-03-26 08:10:00+00:00,290.04,290.19,290.04,290.19,0
2026-03-26 08:11:00+00:00,289.97,290.0,289.97,290.0,0
2026-03-26 08:12:00+00:00,289.85,289.89,289.85,289.89,0
2026-03-26 08:13:00+00:00,289.65,289.84,289.65,289.84,0
2026-03-26 08:14:00+00:00,289.57,289.6,289.52,289.6,0
2026-03-26 08:15:00+00:00,289.58,289.63,289.58,289.63,0
2026-03-26 08:16:00+00:00,289.6,289.61,289.6,289.61,0
2026-03-26 08:17:00+00:00,289.53,289.59,289.51,289.54,0
2026-03-26 08:18:00+00:00,289.41,289.52,289.3,289.52,0
2026-03-26 08:19:00+00:00,289.24,289.35,289.24,289.35,0
2026-03-26 08:21:00+00:00,289.26,289.29,289.26,289.26,0
2026-03-26 08:22:00+00:00,289.26,289.38,289.24,289.26,0
2026-03-26 08:23:00+00:00,289.29,289.29,289.28,289.28,0
2026-03-26 08:24:00+00:00,289.29,289.31,289.29,289.31,0
2026-03-26 08:25:00+00:00,289.28,289.3,289.22,289.26,0
2026-03-26 08:26:00+00:00,289.38,289.38,289.3,289.3,0
2026-03-26 08:27:00+00:00,289.31,289.31,289.29,289.31,0
2026-03-26 08:28:00+00:00,289.26,289.29,289.23,289.29,0
2026-03-26 08:29:00+00:00,289.2,289.22,289.16,289.22,0
2026-03-26 08:30:00+00:00,289.05,289.1,289.05,289.1,0
2026-03-26 08:31:00+00:00,289.29,289.29,289.05,289.08,0
2026-03-26 08:33:00+00:00,289.28,289.28,289.23,289.23,0
2026-03-26 08:34:00+00:00,289.28,289.29,289.28,289.28,0
2026-03-26 08:35:00+00:00,289.13,289.29,289.13,289.29,0
2026-03-26 08:36:00+00:00,289.27,289.27,289.26,289.26,0
2026-03-26 08:37:00+00:00,289.16,289.16,289.16,289.16,0
2026-03-26 08:38:00+00:00,289.15,289.16,289.1,289.11,0
2026-03-26 08:39:00+00:00,289.18,289.19,289.18,289.18,0
2026-03-26 08:40:00+00:00,289.3,289.3,289.21,289.21,0
2026-03-26 08:42:00+00:00,289.26,289.32,289.26,289.32,0
