Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Datetime,,,,,
2026-04-01 08:00:00+00:00,290.5,291.81,287.56,290.46,0
2026-04-01 08:01:00+00:00,289.8,291.81,289.2,290.0,0
2026-04-01 08:02:00+00:00,290.0,290.1188,289.8036,289.9,0
2026-04-01 08:03:00+00:00,289.9,290.11,289.8728,289.8728,0
2026-04-01 08:04:00+00:00,289.61,290.0202,289.61,289.9,0
2026-04-01 08:05:00+00:00,289.4729,290.06,289.39,289.78,0
2026-04-01 08:06:00+00:00,289.4,289.88,289.4,289.79,0
2026-04-01 08:07:00+00:00,289.4505,289.48,289.1292,289.362,0
2026-04-01 08:08:00+00:00,289.4756,289.59,289.29,289.31,0
2026-04-01 08:09:00+00:00,289.02,289.6723,289.0,289.57,0
2026-04-01 08:10:00+00:00,289.1,289.26,288.88,289.0251,0
2026-04-01 08:11:00+00:00,288.73,289.2464,288.62,289.0,0
2026-04-01 08:12:00+00:00,288.72,288.9,288.6,288.9,0
2026-04-01 08:13:00+00:00,288.7815,288.95,288.64,288.72,0
2026-04-01 08:14:00+00:00,289.39,289.5088,288.88,289.34,0
2026-04-01 08:15:00+00:00,289.38,289.4275,288.8876,289.375,0
2026-04-01 08:16:00+00:00,289.0122,289.38,288.95,289.3448,0
2026-04-01 08:17:00+00:00,289.33,289.42,288.9897,288.9988,0
2026-04-01 08:18:00+00:00,289.6117,289.62,289.31,289.32,0
2026-04-01 08:19:00+00:00,289.5,289.62,289.05,289.5,0
2026-04-01 08:20:00+00:00,289.289,289.3,289.0912,289.22,0
2026-04-01 08:21:00+00:00,289.39,289.39,289.1,289.2,0
2026-04-01 08:22:00+00:00,289.51,289.51,289.39,289.39,0
2026-04-01 08:23:00+00:00,289.51,289.7988,289.45,289.5,0
2026-04-01 08:24:00+00:00,289.51,289.51,289.3261,289.3261,0
2026-04-01 08:25:00+00:00,289.5927,289.8,289.51,289.63,0
2026-04-01 08:26:00+00:00,289.8,289.8,289.61,289.7859,0
2026-04-01 08:27:00+00:00,289.71,289.8,289.66,289.7901,0
2026-04-01 08:28:00+00:00,289.66,289.71,289.52,289.66,0
2026-04-01 08:29:00+00:00,289.54,289.67,289.4,289.67,0
2026-04-01 08:30:00+00:00,289.559,289.559,289.45,289.54,0
2026-04-01 08:31:00+00:00,289.45,289.48,289.3992,289.48,0
2026-04-01 08:32:00+00:00,289.57,289.57,289.49,289.49,0
2026-04-01 08:33:00+00:00,289.37,289.57,289.37,289.5606,0
2026-04-01 08:34:00+00:00,289.42,289.5488,289.3578,289.4732,0
2026-04-01 08:35:00+00:00,289.428,289.51,289.31,289.42,0
